id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance2_1,performance2_2,performance2_3,performance2_4
51,Male,39,Aichi,4,33,1,4,4,4,4,2,4,2,2,2,2,2,2,2,2
52,Male,42,Saga,2,2,3,1,4,4,4,4,3,4,4,2,4,3,1,1,4
53,Male,58,Aichi,4,33,2,2,4,4,99,4,4,4,4,3,4,4,4,3,4
54,Male,66,Aichi,4,1,1,4,3,2,99,2,1,2,1,1,99,3,1,1,1
55,Male,42,Fukuoka,2,33,1,4,4,4,4,3,2,99,1,1,1,99,99,99,99
56,Male,37,Hokkaido,3,33,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57,Female,70,Saitama,2,1,1,4,3,2,4,2,1,2,2,2,2,2,2,2,2
58,Male,53,Yamaguchi,3,1,1,4,3,4,4,2,1,2,3,2,3,2,3,2,4
59,Male,58,Wakayama,4,33,2,4,3,3,4,3,1,3,3,3,3,3,3,3,3
60,Other,52,Kanagawa,4,1,2,4,4,2,4,4,1,99,2,2,3,3,2,2,4
61,Male,41,Osaka,3,6,1,3,3,2,3,3,4,3,3,2,3,3,2,2,3
62,Male,39,Gifu,4,1,2,4,2,3,4,2,1,2,2,1,2,2,2,2,3
63,Male,49,Kanagawa,4,99,2,4,4,2,4,3,2,2,3,2,2,3,2,2,2
64,Male,50,Kanagawa,4,33,2,3,3,2,4,3,4,3,3,3,3,3,3,3,3
65,Male,66,Chiba,4,4,1,3,3,1,4,3,3,2,1,1,2,2,2,2,3
66,Male,41,Miyagi,4,33,2,2,3,3,4,3,3,4,3,2,99,4,3,2,99
67,Male,52,Chiba,4,33,2,2,2,4,2,4,4,4,3,3,3,99,99,2,99
68,Male,45,Aomori,4,33,2,4,4,3,4,4,1,3,2,2,1,4,2,2,3
69,Male,39,Kanagawa,2,33,2,3,3,2,4,3,1,3,3,2,2,3,2,2,2
70,Male,48,Yamagata,2,33,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
71,Male,44,Hokkaido,4,33,3,4,4,4,4,4,1,4,4,2,4,4,4,2,4
72,Female,49,Aichi,4,33,2,2,3,4,4,3,3,4,2,2,3,4,4,2,3
73,Male,48,Tokyo,4,1,1,4,3,3,4,3,11,2,2,1,1,3,2,1,2
74,Female,46,Niigata,2,1,1,2,3,2,3,3,1,4,3,3,4,4,3,3,4
75,Male,45,Tokyo,3,4,2,3,3,2,3,4,3,3,2,2,3,3,2,2,3
76,Male,50,Chiba,3,33,1,3,3,4,4,2,1,2,2,2,99,2,2,2,99
77,Male,53,Fukuoka,2,33,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4
78,Male,56,Hyogo,3,1,2,3,4,3,4,3,1,4,3,3,3,4,3,4,4
79,Male,51,Saitama,2,33,99,99,99,99,99,99,2,99,99,99,99,99,99,99,99
80,Female,53,Hyogo,4,6,4,4,4,4,4,3,3,4,4,3,4,4,4,2,4
81,Male,51,Aichi,4,1,1,4,4,3,4,3,3,2,2,1,2,2,2,2,2
82,Male,21,Saitama,2,33,2,3,3,3,3,3,3,4,4,2,3,4,3,2,4
83,Male,42,Chiba,2,3,1,2,2,2,4,3,1,4,4,4,4,4,4,4,4
84,Female,43,Mie,3,33,99,99,99,99,99,99,1,4,4,4,4,4,4,4,4
85,Female,34,Ibaraki,4,33,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4
86,Female,38,Niigata,4,1,1,2,3,2,3,2,1,2,2,1,3,3,1,1,3
87,Male,63,Akita,4,1,1,4,4,3,4,2,1,2,2,3,2,2,2,2,3
88,Male,36,Tokyo,4,1,2,4,4,3,4,4,1,4,2,2,3,3,2,2,3
89,Female,34,Tokyo,4,4,2,4,4,1,4,4,1,3,2,3,3,1,3,3,2
90,Male,48,Toyama,2,33,1,3,3,2,4,4,1,4,4,4,4,4,4,4,4
91,Male,60,Kyoto,3,1,1,4,4,4,4,4,2,2,1,1,3,2,1,1,2
92,Male,52,Shizuoka,2,99,2,4,4,4,4,2,1,2,2,3,3,3,2,99,3
93,Female,40,Chiba,2,33,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
94,Male,66,Saitama,4,1,2,3,3,2,99,2,3,3,2,4,4,4,4,4,4
95,Male,37,Tokyo,4,33,3,4,99,4,4,4,1,3,3,2,3,3,3,3,3
96,Male,55,Mie,2,1,1,2,2,2,4,2,3,2,2,2,3,2,2,2,3
97,Male,49,Gifu,4,6,4,3,3,4,4,2,1,4,4,4,4,4,4,4,4
98,Female,26,Hiroshima,4,33,99,99,99,99,99,99,99,99,2,2,3,3,3,2,3
99,Female,53,Tokyo,4,33,2,2,3,2,3,3,1,4,4,3,4,3,3,3,3
100,Male,36,Chiba,4,33,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4
101,Male,59,Chiba,4,33,2,99,99,2,99,99,1,3,3,3,99,3,3,3,99
102,Female,20,Tokyo,4,99,99,99,99,99,99,99,4,1,1,1,1,1,1,1,4
103,Male,38,Osaka,4,33,4,4,3,3,4,3,1,4,4,3,4,4,4,4,4
104,Male,22,Fukuoka,4,33,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
105,Male,33,Kanagawa,2,33,99,4,99,4,4,99,3,4,4,4,99,4,4,4,99
106,Male,46,Fukuoka,2,1,2,4,4,2,4,4,3,99,2,1,2,2,1,2,2
107,Female,41,Chiba,2,33,2,3,3,3,4,3,1,4,4,2,3,4,4,2,4
108,Female,42,Chiba,3,33,2,2,99,4,4,3,4,3,2,1,2,3,2,1,2
109,Male,35,Osaka,3,11,99,99,99,4,99,99,99,4,4,4,4,4,99,4,4
110,Male,45,Chiba,4,1,2,3,3,4,4,3,1,4,3,3,4,4,4,4,4
111,Male,37,Kanagawa,2,11,4,3,4,4,2,3,4,4,4,4,4,4,4,4,4
112,Male,48,Osaka,3,1,1,3,3,3,3,2,3,3,3,3,3,2,2,3,2
113,Male,50,Aichi,4,33,2,3,4,3,4,3,1,4,2,2,4,4,2,2,4
114,Female,37,Aichi,3,1,2,99,2,2,99,99,4,4,3,2,2,4,2,2,3
115,Female,49,Kanagawa,3,33,99,99,99,99,99,99,3,4,4,2,3,4,2,2,3
116,Male,52,Hokkaido,3,33,3,2,3,3,3,2,1,4,4,2,3,4,4,2,4
117,Male,53,Tokyo,4,6,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
118,Male,47,Nara,4,1,1,4,4,3,4,4,1,2,2,1,2,2,1,1,2
119,Male,40,Hiroshima,4,1,2,4,4,4,4,2,1,3,3,2,99,3,3,2,4
120,Female,50,Fukui,2,33,2,99,99,2,4,99,3,3,2,2,4,4,3,2,4
121,Male,62,Hyogo,4,33,4,4,4,4,4,3,1,4,4,3,3,4,4,2,3
122,Male,60,Aichi,4,1,1,4,4,3,4,4,1,1,4,4,4,4,4,3,4
123,Male,27,Miyagi,4,1,2,4,4,4,99,3,1,4,3,3,4,4,4,3,4
124,Male,56,Kanagawa,4,33,1,4,4,4,4,2,1,4,4,4,4,4,4,4,4
125,Female,50,Aichi,4,33,2,4,2,3,4,2,3,4,4,4,3,4,4,4,4
126,Male,54,Saitama,4,33,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4
127,Male,46,Tokyo,4,33,2,3,3,3,3,3,4,4,4,2,3,4,4,2,4
128,Male,31,Fukushima,4,33,1,4,2,4,4,2,1,2,1,1,4,3,2,2,4
129,Female,56,Niigata,2,33,4,4,4,3,3,4,1,3,2,2,99,4,2,2,99
130,Female,44,Saitama,2,33,3,2,4,3,4,2,4,3,3,3,4,4,2,2,4
131,Male,64,Kanagawa,4,2,1,2,3,3,3,3,1,2,3,3,2,2,2,2,2
132,Male,65,Saitama,4,1,2,3,4,3,4,3,1,2,3,3,3,2,3,2,3
133,Male,41,Saitama,4,33,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
134,Male,37,Kanagawa,2,33,2,3,4,2,3,4,4,3,3,2,4,3,3,2,4
135,Female,47,Gunma,4,33,2,2,99,2,3,4,4,4,2,2,3,4,2,2,2
136,Male,43,Chiba,3,33,99,99,99,99,99,99,3,4,4,3,4,4,4,3,4
137,Male,33,Hokkaido,1,33,4,4,4,4,4,4,1,2,2,2,2,2,3,2,2
138,Male,37,Gunma,4,1,2,4,3,4,4,3,1,3,1,1,2,3,1,1,2
139,Male,61,Saitama,4,2,2,2,4,4,4,3,4,4,3,3,2,4,3,3,2
140,Male,47,Gunma,2,33,1,4,3,2,4,3,1,99,99,2,99,99,99,2,99
141,Female,36,Osaka,4,1,2,99,99,4,4,99,1,4,4,4,4,4,4,4,4
142,Male,47,NA,2,1,2,2,2,2,2,2,3,3,4,4,3,3,4,4,3
143,Male,63,Gifu,4,33,4,4,4,4,4,4,4,4,4,4,99,4,4,4,99
144,Female,30,Aomori,2,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
145,Male,42,Tokyo,4,1,2,3,2,3,3,2,1,3,3,3,3,3,3,3,3
146,Male,59,Kanagawa,4,2,1,1,4,4,4,4,3,4,3,2,2,4,4,2,2
147,Male,58,Ibaraki,2,1,1,4,4,2,4,4,4,4,4,3,4,3,3,2,3
148,Female,62,Hokkaido,2,33,99,99,99,99,99,99,4,4,4,3,4,4,4,4,99
149,Male,38,Hokkaido,4,4,1,2,4,2,4,4,1,3,2,2,99,3,99,99,99
150,Male,53,Osaka,4,33,3,3,4,4,4,3,1,4,4,2,99,4,4,3,99
151,Male,57,Fukuoka,2,6,2,4,4,4,4,3,1,2,3,3,2,2,3,3,2
152,Female,30,Chiba,2,5,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4
153,Male,65,Hokkaido,2,6,1,3,2,2,4,2,1,2,2,2,2,2,2,1,2
154,Male,68,Aichi,2,6,3,2,3,2,3,2,5,4,4,4,4,3,2,2,4
155,Male,55,Kyoto,4,1,2,4,4,4,4,4,1,3,2,3,3,4,2,3,3
156,Male,39,Hiroshima,4,1,1,4,4,4,4,3,1,3,4,2,4,3,2,2,4
157,Male,55,Tokyo,4,33,2,3,3,3,4,3,1,3,2,2,3,3,2,2,3
158,Male,72,Ibaraki,4,33,1,2,4,3,4,4,3,4,3,2,4,4,4,2,4
159,Female,43,Hyogo,2,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160,Male,40,Mie,1,33,2,3,3,3,4,3,1,3,2,2,3,99,99,2,99
161,Male,44,Miyagi,3,33,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4
162,Male,52,Miyagi,4,33,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4
163,Male,33,Ehime,3,3,2,4,4,3,4,4,3,3,2,1,2,3,2,1,2
164,Male,21,Okayama,2,1,1,2,2,2,3,3,3,3,2,1,4,3,2,1,3
165,Male,45,Toyama,4,1,2,3,4,4,4,3,1,3,2,2,3,3,2,2,3
166,Male,55,Tokyo,4,2,1,2,3,3,4,3,3,3,4,2,4,3,3,2,4
167,Male,45,Tokyo,4,1,1,4,3,2,4,3,3,2,1,1,4,2,1,1,3
168,Male,49,Nara,4,33,2,2,2,2,2,2,4,3,3,2,3,4,4,3,3
169,Female,43,Miyagi,3,99,2,3,3,3,3,3,4,2,2,2,2,3,2,2,3
170,Male,37,Tokyo,2,33,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
171,Male,60,Kanagawa,2,5,2,2,3,3,3,4,4,4,4,3,4,4,4,3,4
172,Male,39,Yamaguchi,3,33,3,4,4,3,4,4,4,4,4,1,4,4,1,4,4
173,Female,30,Shizuoka,2,99,3,3,4,4,3,3,99,3,2,3,3,2,3,3,3
174,Male,60,Miyazaki,3,33,4,4,99,3,4,4,1,3,3,2,4,4,3,3,4
175,Female,24,Osaka,3,33,2,4,4,4,3,2,1,4,4,3,99,3,3,2,99
176,Male,51,Shiga,3,33,3,4,4,3,4,3,1,4,4,4,99,4,4,4,99
177,Male,43,Saitama,3,1,2,4,4,4,4,4,1,4,3,2,4,4,3,3,4
178,Female,54,Mie,2,33,2,3,3,3,3,3,1,3,3,2,3,4,3,2,4
179,Male,36,Tokyo,4,1,2,4,4,4,4,3,1,3,3,3,4,3,3,3,4
180,Male,51,Shiga,2,33,2,4,4,4,4,3,3,4,3,2,2,4,2,2,3
181,Male,60,Hyogo,4,33,2,4,3,3,3,3,3,3,3,2,2,3,3,2,2
182,Female,45,Mie,2,11,3,99,99,99,99,4,1,3,2,1,4,4,2,1,99
183,Male,56,Saitama,4,1,2,4,3,3,4,2,4,3,3,2,4,3,99,2,4
184,Female,45,Osaka,3,33,3,4,3,3,3,2,1,4,4,3,4,4,4,3,4
185,Male,41,Akita,4,6,3,3,3,3,3,1,3,3,4,4,3,4,4,4,3
186,Male,43,Tokyo,2,7,4,2,3,3,3,4,4,4,4,3,3,4,4,3,3
187,Male,50,Chiba,4,33,2,4,4,3,4,3,1,4,4,4,4,4,4,4,4
188,Male,33,Kanagawa,4,33,4,3,4,4,2,3,1,1,4,2,4,4,3,2,4
189,Male,53,Shiga,2,33,3,3,3,4,4,3,1,4,4,2,3,4,4,2,3
190,Male,42,Tokyo,2,33,2,2,3,4,4,4,4,4,2,2,3,4,2,2,3
191,Male,75,Kyoto,4,33,2,3,4,3,4,3,3,3,4,3,3,3,2,2,3
192,Male,36,Hyogo,3,4,2,2,2,2,2,3,1,3,2,2,2,2,2,2,3
193,Male,47,Fukuoka,4,33,3,4,4,3,4,4,11,4,3,2,3,4,99,99,99
194,Male,44,Ibaraki,4,33,1,2,3,4,4,4,4,4,3,2,3,3,2,1,3
195,Female,49,Shizuoka,4,33,3,3,4,4,3,3,1,3,3,4,3,4,4,4,3
196,Male,44,Hyogo,4,6,1,4,4,4,4,2,3,4,3,3,4,4,3,3,4
197,refuse,47,Aichi,3,33,2,4,3,3,4,4,1,4,2,1,1,4,1,1,1
198,Male,55,Hokkaido,4,33,4,2,3,4,2,3,4,4,4,4,4,4,4,4,4
199,Female,44,Fukuoka,3,33,99,99,99,99,99,99,3,2,2,2,2,2,2,2,2
200,Male,26,Iwate,1,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
201,Male,36,Hyogo,4,33,3,4,4,3,4,3,1,3,3,2,4,4,4,2,4
202,Male,37,Shizuoka,4,33,2,4,4,3,4,4,3,2,2,2,2,2,2,2,2
203,Female,41,Aichi,2,33,4,2,2,4,2,2,1,4,4,4,4,4,4,4,4
204,Male,40,Aichi,4,33,3,2,2,3,3,2,4,3,2,3,3,3,3,2,3
205,Male,61,Osaka,4,6,2,4,2,3,3,2,1,4,3,3,4,4,4,3,4
206,Male,41,Tochigi,4,1,1,3,3,3,4,4,1,3,3,1,2,3,2,2,2
207,Female,57,Hyogo,3,33,1,3,3,3,3,3,1,2,1,1,1,2,1,1,1
208,Female,57,Aichi,4,33,2,3,3,3,4,3,3,2,2,1,3,3,1,1,3
209,Female,81,Saitama,2,33,2,3,4,4,4,4,3,3,4,4,3,4,4,3,4
210,Male,39,Kyoto,3,33,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
211,Male,41,Kagawa,2,33,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4
212,Male,40,Kyoto,4,1,1,3,2,1,2,2,3,1,2,1,1,2,2,2,2
213,Female,36,Tokyo,4,33,99,99,99,99,99,99,1,3,3,3,99,3,3,2,99
214,Female,32,Fukuoka,4,3,4,4,1,4,3,4,1,4,4,99,99,4,99,99,99
215,Male,58,Aichi,4,33,2,4,3,2,3,3,1,3,2,2,2,3,2,3,3
216,Male,38,Shiga,3,1,3,4,4,4,4,4,1,4,2,1,2,4,2,1,2
217,Male,28,Osaka,4,33,4,3,2,4,3,2,4,4,4,3,4,4,4,4,4
218,Male,45,Fukushima,4,6,1,2,3,3,3,2,4,4,3,3,4,4,2,2,3
219,Female,30,Shizuoka,4,33,3,4,4,4,4,4,3,4,4,2,4,4,3,2,4
220,Male,55,Chiba,2,2,4,1,3,4,2,4,3,4,4,4,4,4,4,4,4
221,Female,52,Akita,2,1,1,3,3,2,3,3,1,3,2,3,3,3,3,3,3
222,Female,34,Akita,3,33,99,99,99,99,99,99,1,3,99,2,3,99,99,99,99
223,Female,28,Nagano,2,33,2,3,3,3,3,3,1,2,2,2,2,2,2,2,2
224,Male,46,Aichi,4,33,2,4,4,4,4,4,4,4,2,2,2,4,2,2,3
225,Male,35,Kyoto,2,33,2,4,4,3,4,3,1,2,2,1,3,2,2,2,3
226,Female,38,Kanagawa,2,33,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
227,Male,45,Hyogo,4,6,2,3,3,4,3,1,3,3,3,3,4,3,4,3,4
228,Female,28,Hokkaido,4,33,2,3,3,4,4,3,3,4,4,4,4,4,4,4,4
229,Male,42,Tochigi,4,33,2,4,3,3,4,2,3,4,2,2,4,4,2,2,4
230,Male,33,Aichi,4,33,2,4,3,2,4,99,1,4,4,1,4,4,2,2,4
231,Male,52,Osaka,2,33,1,1,1,1,1,4,3,3,2,2,2,3,2,2,2
232,Male,48,Kanagawa,4,5,1,2,2,4,2,2,1,4,4,4,4,4,4,4,4
233,Male,40,Okinawa,2,1,1,4,3,3,4,2,1,4,3,3,3,4,3,3,4
234,Female,48,Wakayama,2,33,4,4,4,4,4,4,99,99,99,99,99,99,99,99,99
235,Female,56,Mie,4,1,2,3,3,2,4,3,1,2,2,2,3,2,2,2,3
236,Male,55,Mie,4,33,2,4,4,4,4,2,1,2,1,1,2,2,1,1,2
237,Male,56,Hyogo,2,6,2,4,4,4,4,1,1,4,4,4,4,4,4,4,4
238,Male,41,Osaka,4,6,1,4,4,3,4,2,1,2,4,4,3,3,4,4,3
239,Male,57,Tokyo,4,33,2,4,4,3,4,4,1,2,4,2,4,2,3,2,4
240,Male,54,Shizuoka,4,33,1,4,4,4,4,4,1,4,2,2,4,4,2,2,4
241,Female,47,Kanagawa,3,1,2,99,99,4,3,2,3,4,99,3,3,3,99,2,3
242,Male,50,Kyoto,3,33,1,4,4,3,4,3,1,4,2,1,3,99,99,99,99
243,refuse,28,Chiba,4,33,2,4,2,2,4,2,1,1,1,1,1,1,1,1,1
244,Female,40,Ehime,4,1,1,4,2,3,4,2,1,4,2,2,3,3,2,2,3
245,Male,41,Kagoshima,2,33,99,99,99,99,99,99,1,4,4,3,4,4,4,4,4
246,Female,64,Kagawa,4,1,2,3,3,3,3,3,1,3,2,2,3,3,2,2,3
247,Male,40,Tokyo,3,5,2,2,3,4,2,4,1,3,4,4,2,3,4,3,2
248,Male,37,Hyogo,4,11,4,3,3,4,2,4,1,4,4,4,4,4,4,4,4
249,Male,37,Gunma,2,33,4,4,4,4,3,4,11,4,4,3,99,4,3,2,99
250,Male,60,Osaka,4,2,1,2,3,3,3,3,3,4,3,4,3,3,4,3,3
251,Male,35,Saitama,2,33,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
252,Male,50,Aichi,4,2,3,2,4,3,3,4,3,4,4,2,4,3,3,2,4
253,Male,48,Tokyo,4,1,1,4,4,3,3,3,3,3,4,3,2,3,3,2,3
254,Female,21,Chiba,4,99,3,3,3,3,3,3,99,99,99,99,99,99,99,99,99
255,Male,41,Aomori,4,1,1,4,4,3,4,3,1,2,1,1,3,2,1,1,3
256,Female,42,Saga,4,99,99,99,99,99,99,99,1,4,4,99,4,99,99,99,99
257,Male,41,Okinawa,4,33,4,4,4,4,4,4,1,4,4,3,4,4,3,3,4
258,Female,43,Saga,2,33,99,4,4,4,4,4,1,3,3,3,4,3,3,3,3
259,Male,51,Nara,3,6,2,3,3,2,4,2,11,3,4,2,4,4,2,2,4
260,Male,48,Aichi,4,6,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
261,Male,68,Tochigi,4,33,2,3,3,3,4,3,4,4,3,2,4,4,3,1,4
262,Male,45,Fukushima,4,33,2,4,4,4,4,4,1,3,2,2,1,3,2,2,1
263,Female,31,Miyagi,4,33,2,99,2,3,3,4,4,4,4,2,2,4,4,2,2
264,Female,41,Chiba,4,2,2,2,3,3,3,3,1,4,4,4,4,4,4,4,4
265,Female,45,Aichi,4,33,1,2,2,3,4,3,4,3,3,2,3,3,3,1,3
266,Male,28,Kanagawa,4,7,3,2,2,3,2,3,5,4,4,2,2,3,4,3,4
267,Male,46,Tochigi,4,2,3,2,3,3,4,4,4,4,4,3,3,4,3,3,3
268,Male,42,Kanagawa,4,33,2,4,4,4,4,4,1,3,4,4,2,4,4,4,99
269,Male,49,Aichi,4,33,3,3,3,3,2,3,3,4,4,2,3,4,3,2,3
270,Male,58,Kanagawa,4,1,1,3,3,2,4,2,1,2,2,2,3,2,2,1,3
271,Male,20,Ibaraki,2,99,3,4,3,99,3,4,99,3,3,3,4,2,3,4,3
272,Male,63,Saitama,4,1,2,3,3,3,3,3,1,2,2,2,3,3,3,2,3
273,Female,41,Osaka,2,33,1,2,4,4,4,3,1,3,4,3,4,4,3,3,4
274,Female,45,Kanagawa,4,5,2,2,3,3,3,4,1,4,4,3,3,4,4,2,3
275,Female,50,Gifu,2,1,2,3,99,2,99,99,4,3,3,3,99,3,3,3,2
276,Female,48,Niigata,3,33,3,2,3,2,2,2,1,3,4,2,4,3,2,2,3
277,Male,56,Tokyo,4,33,2,3,3,2,4,3,1,3,2,2,2,3,2,2,2
278,Male,45,Aichi,2,33,99,99,99,99,99,99,1,4,4,4,4,4,4,4,4
279,Male,45,Saitama,4,33,3,2,3,3,3,2,4,4,4,3,4,4,4,3,4
280,Female,40,Nagano,3,99,2,2,3,4,3,99,3,3,99,99,99,3,3,3,99
281,Female,53,Tokyo,3,33,3,3,4,3,4,4,3,4,4,4,4,4,3,4,4
282,Male,40,Okinawa,4,33,3,4,4,4,4,4,1,4,3,2,4,4,3,3,4
283,Female,31,Fukuoka,3,6,2,2,2,4,4,2,3,4,4,4,4,4,4,4,4
284,Male,63,Kochi,4,1,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3
285,Male,49,Toyama,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
286,Male,49,Saitama,2,33,99,4,1,4,99,99,1,4,4,4,99,99,99,99,99
287,Male,48,Tokyo,2,1,1,4,2,3,4,2,4,4,4,1,1,4,4,1,1
288,Male,37,Kochi,2,1,1,3,3,2,4,2,1,2,2,2,3,2,2,2,4
289,Female,53,Miyagi,3,33,2,3,4,4,4,2,1,4,3,3,99,4,3,4,3
290,Male,49,Kanagawa,3,33,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4
291,Female,45,Kyoto,2,1,2,4,4,3,4,3,1,2,2,1,2,4,3,1,2
292,Male,21,Tokyo,4,33,99,2,99,99,2,3,3,4,4,2,3,4,4,2,3
293,Female,23,Hokkaido,4,33,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
294,Female,58,Chiba,4,2,2,2,3,3,3,4,1,3,2,3,3,4,3,3,3
295,Male,51,Fukushima,2,33,2,4,4,4,4,4,5,4,4,3,4,4,4,3,4
