id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance1_5
175,Male,36,Fukushima,1,6,3,2,1,1,3,2,5,3,2,3,2,1
176,Female,53,Hyogo,4,6,4,4,4,4,4,99,1,4,4,2,4,4
177,Male,37,Gunma,4,1,2,4,3,3,4,3,1,3,1,1,3,3
178,Male,42,Kanagawa,4,33,4,4,99,4,99,2,3,4,4,4,4,4
179,Female,37,Hokkaido,3,1,1,4,3,4,4,4,1,2,2,2,2,99
180,Male,41,Tokyo,4,33,2,4,4,4,4,3,1,2,2,1,4,2
181,Male,60,Osaka,4,1,2,3,2,2,4,2,1,2,2,2,2,2
182,Male,40,Osaka,4,33,2,4,4,4,4,4,1,3,3,2,4,3
183,Male,33,Hokkaido,1,33,3,3,3,3,3,3,99,2,2,2,2,2
184,Male,54,Aichi,2,1,2,3,3,3,4,3,3,3,3,2,2,3
185,Male,51,Hyogo,4,6,2,4,3,4,4,2,1,4,3,2,4,4
186,Female,34,Akita,3,33,2,99,99,4,99,99,3,99,99,2,99,3
187,Male,54,Nagano,4,1,1,4,4,4,4,2,1,2,2,2,2,3
188,Male,50,Chiba,3,33,2,4,4,4,4,4,1,2,3,2,2,99
189,Male,41,Gifu,4,1,2,3,3,3,3,3,5,3,3,2,3,3
190,Male,36,Yamaguchi,4,33,1,2,3,3,4,3,4,3,4,2,2,3
191,Female,37,Aichi,3,1,2,3,3,2,3,3,1,4,3,2,2,4
192,Female,48,Oita,2,33,99,99,99,99,99,99,1,99,99,2,4,99
193,Male,63,Saitama,4,1,2,3,3,3,3,3,3,3,3,4,3,3
194,Female,51,Kanagawa,4,33,99,99,99,99,99,99,1,3,4,3,4,3
195,Male,47,Kanagawa,3,33,2,3,99,4,4,99,1,4,4,2,2,4
196,Female,48,Ehime,3,33,2,2,2,2,3,3,3,4,4,4,4,4
197,Male,57,Fukuoka,2,6,2,4,4,4,4,3,1,2,2,2,2,2
198,Male,33,Kanagawa,4,6,1,4,4,4,4,3,4,4,4,2,3,4
199,Male,49,Aichi,4,33,3,3,3,3,3,3,4,4,4,2,4,4
200,Male,47,Kagoshima,4,33,2,2,3,3,3,3,3,3,2,2,2,99
201,Male,41,Tochigi,4,1,1,2,3,3,4,3,1,3,3,1,2,3
202,Male,33,Tokyo,4,6,2,4,4,4,4,3,99,3,3,4,3,3
203,Male,65,Fukuoka,4,1,2,4,4,3,4,3,1,2,2,2,1,2
204,Male,43,Shiga,4,33,1,1,4,4,4,2,4,3,4,1,4,4
205,Male,63,Gifu,4,33,3,3,3,3,3,3,3,99,4,4,4,99
206,Male,40,Hiroshima,4,1,2,4,4,4,4,2,1,3,4,2,3,4
207,Female,30,Hiroshima,4,33,1,2,2,3,3,2,1,3,3,2,2,3
208,Female,34,Kanagawa,4,1,3,2,3,3,3,3,1,3,4,99,3,3
209,Other,39,Aichi,4,33,1,4,4,4,4,3,99,3,3,2,3,3
210,Other,52,Kanagawa,4,33,1,4,4,2,2,2,1,2,2,1,3,2
211,Female,44,Toyama,3,2,2,2,99,4,4,3,1,99,99,2,99,99
212,Male,53,Fukuoka,2,33,2,4,4,4,4,4,4,4,4,4,4,4
213,Male,66,Hyogo,4,2,2,2,3,2,3,2,4,4,3,3,4,4
214,Male,75,Kyoto,4,33,1,3,99,2,4,2,3,99,4,2,4,4
215,Male,42,Tokyo,4,6,1,4,3,4,4,2,1,4,4,4,4,4
216,Male,43,Akita,2,6,4,4,4,3,3,1,1,3,2,2,3,4
217,Male,40,Aichi,4,33,2,4,4,4,4,2,1,2,4,2,3,3
218,Male,50,Chiba,4,3,2,4,2,4,4,2,1,3,4,1,2,4
219,Female,30,Kyoto,4,1,1,3,3,2,4,3,1,2,2,1,2,99
220,Male,72,Ibaraki,4,33,2,3,4,3,4,4,3,3,4,2,4,4
221,Male,58,Aichi,4,33,2,3,2,2,4,3,3,2,3,3,2,2
222,Male,54,Chiba,4,1,1,4,2,2,4,2,1,3,3,1,2,3
223,Male,43,Iwate,4,1,1,3,3,2,4,3,1,2,3,1,2,2
224,Male,45,Kanagawa,4,33,2,3,3,4,4,3,3,4,4,3,4,2
225,Male,37,Hiroshima,4,1,2,4,3,4,4,2,1,4,3,3,3,4
226,Male,37,Tokyo,4,33,1,4,4,4,4,2,3,4,2,2,4,2
227,Male,39,Kanagawa,4,1,1,3,3,2,4,3,3,2,2,1,2,99
228,Female,55,Tokyo,4,33,3,3,3,4,3,2,4,4,4,2,4,4
229,Male,37,Gunma,2,33,4,4,4,4,3,4,4,4,4,4,4,4
230,Male,44,Chiba,3,1,1,4,3,4,4,2,1,2,2,1,3,3
231,Female,38,Kyoto,4,99,4,4,4,4,4,4,3,4,4,4,4,4
232,Male,57,Chiba,4,1,1,4,4,4,4,4,1,3,4,2,4,3
233,Male,58,Toyama,4,6,2,4,4,3,4,2,1,4,4,3,3,3
234,Male,33,Aichi,4,1,2,4,3,3,4,2,1,4,99,2,4,2
235,Female,36,Tokyo,4,33,1,1,3,3,3,2,1,3,4,1,4,3
236,Male,45,Saitama,4,33,4,3,4,4,4,2,4,4,4,4,4,4
237,Male,31,Fukuoka,4,33,3,3,2,3,2,1,99,3,4,3,2,3
238,Female,52,Kanagawa,3,1,2,3,3,2,2,3,3,2,3,2,2,4
239,Male,39,Aichi,4,5,1,2,99,3,2,3,4,4,3,1,3,4
240,Male,46,Aichi,4,6,3,3,3,4,4,1,1,4,4,2,3,4
241,Male,38,Yamanashi,4,6,3,4,4,3,4,2,3,4,4,3,4,4
242,Male,42,Tokyo,4,3,2,4,2,4,4,2,3,3,3,3,3,3
243,Male,41,Saitama,3,33,4,4,4,4,4,4,1,4,4,4,4,4
244,Male,66,Fukuoka,2,33,4,2,3,4,3,2,4,4,4,4,4,4
245,Male,50,Chiba,4,99,2,4,4,3,4,2,1,3,3,3,3,3
246,Male,47,Fukuoka,4,33,3,4,4,3,4,4,11,4,4,2,3,4
247,Male,50,Aichi,4,33,2,3,3,3,4,3,3,4,3,1,4,4
248,Male,50,Fukuoka,4,4,2,2,3,2,4,3,4,2,2,2,2,1
249,Male,37,Fukuoka,4,33,2,3,3,3,4,3,1,4,3,2,3,3
250,Female,45,Hiroshima,4,33,2,2,3,4,4,2,3,3,3,2,2,3
251,Male,58,Chiba,4,33,2,2,2,2,3,2,4,4,4,3,4,4
252,Male,45,Hyogo,4,6,2,3,3,4,3,1,1,4,4,3,4,4
253,Male,45,Kagawa,3,1,1,4,2,2,4,2,1,3,4,2,2,1
254,Male,37,Kochi,2,1,1,4,4,3,4,2,1,2,3,2,2,3
255,Male,48,Chiba,3,33,2,2,2,4,4,2,1,2,2,4,4,3
256,Male,47,Mie,3,33,99,99,99,99,99,99,99,99,99,99,99,99
257,Male,33,Gifu,3,1,2,4,3,4,4,3,1,3,3,2,2,4
258,Male,59,Shiga,2,99,2,99,99,99,99,99,3,4,4,4,4,99
259,Female,53,Gifu,4,33,99,99,99,99,4,99,1,3,3,2,3,3
260,Male,51,Kyoto,4,6,1,4,3,2,4,2,1,4,4,3,4,2
261,Male,46,Tokyo,2,4,2,4,4,4,4,3,4,4,4,4,4,4
262,Male,57,Tokyo,4,33,4,2,4,4,2,4,4,4,4,3,4,4
263,Male,47,Mie,2,33,2,3,3,3,4,2,1,3,3,2,3,3
264,Female,62,Osaka,3,2,2,2,3,3,3,3,4,4,3,3,4,4
265,Male,30,Mie,4,1,2,2,3,3,3,3,1,3,4,4,4,3
266,Male,64,Kanagawa,4,2,1,2,3,2,3,2,3,3,4,2,3,3
267,Male,42,Miyagi,4,33,1,4,4,3,4,3,4,3,3,1,2,3
268,Male,47,Aichi,3,33,3,4,3,3,4,4,1,4,3,4,3,2
269,Male,44,Hokkaido,2,1,1,4,2,3,4,2,1,2,4,1,3,2
270,Male,48,Yamagata,2,99,2,3,3,3,3,3,4,4,4,3,3,4
271,Male,62,Tokyo,4,33,1,3,3,3,4,2,3,2,3,1,2,2
272,Male,58,Nagano,4,33,2,3,3,3,3,3,1,3,3,3,3,3
273,Male,46,Niigata,4,11,3,3,2,4,3,4,1,4,4,99,3,3
274,refuse,31,Osaka,3,99,99,99,99,99,99,99,1,3,3,4,4,99
275,Male,65,Tokyo,4,2,2,3,3,3,4,3,1,3,3,3,3,3
276,Male,46,Tokyo,2,33,2,3,3,3,3,2,99,2,2,2,2,2
277,Male,44,Hyogo,4,6,2,4,3,4,4,2,1,4,4,2,4,3
278,Male,45,Kanagawa,2,5,1,4,4,3,3,4,1,3,2,2,2,4
279,Male,33,Kanagawa,4,33,3,4,4,4,4,3,1,4,4,4,4,4
280,refuse,30,Shizuoka,4,33,3,3,4,3,4,4,4,4,4,2,2,4
281,Female,40,Ehime,4,1,1,4,3,4,4,2,1,2,2,2,2,3
282,Male,52,Chiba,4,33,2,3,3,4,3,4,4,4,4,2,4,4
283,Female,28,Hokkaido,4,33,2,3,3,4,3,99,3,4,4,2,3,99
284,refuse,28,Nagano,4,33,2,3,3,3,3,2,1,3,3,2,2,2
285,Male,56,Chiba,4,1,1,4,4,3,4,4,1,3,2,2,2,3
286,Female,21,Aichi,4,6,2,4,4,4,4,2,1,3,4,2,3,3
287,Female,26,Hiroshima,4,33,99,99,99,99,99,99,99,99,2,1,2,3
288,Female,35,Hyogo,4,33,4,4,4,4,4,4,4,4,4,2,3,4
289,Female,43,Hyogo,2,33,4,4,4,4,4,4,5,3,2,2,2,4
290,Male,38,Shiga,3,1,2,4,4,4,4,99,1,3,3,1,1,2
291,Female,27,Tokyo,4,1,1,3,3,2,3,3,1,3,3,2,2,2
292,Female,61,Fukushima,4,2,3,3,3,3,3,3,3,4,4,4,4,4
293,Male,46,Aichi,4,33,3,3,3,4,3,3,3,3,3,2,4,2
294,Female,44,Kagawa,1,33,99,99,99,99,99,99,99,99,99,99,99,99
295,Male,66,Aichi,4,1,1,4,3,2,4,2,1,2,2,1,3,4
296,Male,55,Saitama,4,2,3,4,3,4,3,3,11,3,3,2,2,2
297,Female,40,Osaka,4,33,2,4,4,4,4,3,1,4,4,2,3,2
298,Male,52,Osaka,2,6,1,3,4,4,4,4,1,3,2,1,3,2
299,Male,44,Hokkaido,1,1,2,3,3,4,4,4,4,3,2,2,2,2
300,Male,51,Shiga,3,33,2,4,3,3,4,2,1,3,3,2,3,3
301,Male,45,Osaka,3,33,2,4,4,3,4,3,1,4,2,1,2,2
302,Male,43,Saitama,3,1,1,2,2,3,3,2,1,3,2,1,2,4
303,Male,67,Miyagi,3,2,1,2,3,3,3,2,4,3,2,4,2,4
304,Male,52,Fukui,3,6,2,4,3,3,4,3,1,3,3,2,2,4
305,Male,50,Aichi,4,2,1,2,4,3,4,4,3,4,4,1,4,4
306,Male,39,Aichi,2,5,2,2,4,4,3,3,1,3,4,4,4,2
307,Male,47,Osaka,4,33,2,4,99,4,3,99,2,99,3,3,3,3
308,Male,47,Aichi,4,1,2,4,4,4,4,3,1,3,3,3,3,4
309,Male,54,Ehime,4,1,2,4,4,4,4,3,3,4,4,4,4,4
310,Male,41,Tokyo,2,33,4,99,4,4,99,4,4,4,4,99,4,4
311,Male,44,Nagano,4,3,2,4,3,3,4,4,5,4,4,2,3,2
312,Male,60,Nara,2,1,1,4,4,4,4,4,11,3,2,2,2,4
313,Male,38,Shiga,2,1,2,4,3,3,4,3,1,3,3,1,3,2
314,Male,55,Aichi,4,1,1,4,2,3,4,2,1,3,3,2,2,4
315,Female,56,Hyogo,4,1,2,4,4,4,3,3,1,3,4,3,3,3
316,Female,44,Ibaraki,2,1,1,4,2,4,4,4,3,2,3,2,2,3
317,Male,51,Yamanashi,4,4,1,4,4,1,4,3,1,2,3,2,4,2
318,Male,64,Saitama,4,1,1,4,4,2,4,4,1,3,3,1,3,3
319,Male,39,Kanagawa,2,33,1,3,3,2,4,2,1,2,2,2,3,2
320,Male,60,Hyogo,4,4,1,3,3,2,4,2,1,3,4,2,3,2
321,Female,42,Chiba,4,33,2,4,4,3,4,3,1,4,3,1,2,4
322,Male,39,Saitama,4,3,3,3,3,3,3,3,2,3,3,3,3,3
323,Male,61,Osaka,4,33,2,2,2,3,3,1,3,4,4,4,4,4
324,Male,41,Hiroshima,4,1,2,4,4,4,4,3,1,2,2,2,2,2
325,Male,55,Saitama,2,33,2,3,99,3,4,3,1,4,4,2,4,2
326,Male,42,Saga,2,2,3,2,4,4,4,4,1,4,4,4,4,4
327,Female,42,Saga,4,99,99,99,99,99,99,99,99,3,3,2,3,4
328,Male,31,Saitama,4,33,2,4,4,3,4,3,3,99,99,99,99,99
329,Male,40,Okinawa,4,1,2,4,4,4,4,3,4,4,4,2,3,4
330,Male,37,Hyogo,4,11,4,3,3,4,3,3,1,4,3,2,4,4
331,Male,69,Yamagata,4,2,2,2,4,4,4,4,3,4,4,4,4,4
332,Male,54,Shizuoka,4,33,1,4,4,4,4,4,1,4,2,2,2,4
333,Male,36,Miyagi,2,3,4,3,1,4,3,4,3,4,4,4,4,4
334,Male,52,Aomori,4,6,1,4,4,3,4,2,1,2,2,1,2,2
335,Female,51,Saitama,2,33,99,99,99,99,99,99,4,4,4,4,4,4
336,refuse,29,Tokyo,4,99,99,99,99,99,99,99,99,99,99,99,99,99
337,Female,24,Osaka,3,33,3,4,4,4,99,2,3,4,4,3,4,2
338,Male,45,Fukuoka,4,6,3,2,2,4,4,1,1,2,2,3,3,2
339,Male,63,Kochi,4,1,2,4,4,3,4,4,1,2,2,2,2,2
